Metrik,LSTM,MLP
RMSE (mm),2.318216753755822,3.210746602782103
MAE (mm),1.1572638794889565,1.9499032934809302
rRMSE (%),34.911541806219134,48.35273236232082
R²,0.9757140201948273,0.953413550510539
MAPE (%),52.770545774956126,82.87306979732884
NSE,0.9757140201948273,0.953413550510539
PBIAS (%),-2.4093801503657555,-0.393278490525834
KGE,0.9730183792354247,0.9351329379650798
r,0.9879322573039978,0.9771598328645191
α (alpha),1.0013655748690022,0.9394145600368294
β (beta),1.0240938301351943,1.003932806470517
