window_size,lstm_rmse,lstm_mae,lstm_r2,lstm_nse,lstm_kge,lstm_pbias,mlp_rmse,mlp_mae,mlp_r2,mlp_nse,mlp_kge,mlp_pbias,lstm_beats_baseline,mlp_beats_baseline
Baseline,19.828048423163345,9.857664880952385,-0.7748096814501646,-0.7748096814501646,0.11259526717249346,0.00037374022820646643,19.828048423163345,9.857664880952385,-0.7748096814501646,-0.7748096814501646,0.11259526717249346,0.00037374022820646643,False,False
7,2.81845429045634,1.4094932068028858,0.9638211344217089,0.9638211344217089,0.9731518822564754,-1.8710660148055362,2.4012715694189315,1.2111870332484498,0.9737387429170015,0.9737387429170015,0.9429261266483497,1.732532819746321,True,True
14,2.861019327819194,1.543744148701463,0.9627754497085679,0.9627754497085679,0.9608084854520531,1.0404911652880344,2.7158086624498923,1.4859465373285858,0.9664582116058587,0.9664582116058587,0.9242799844674312,3.10252846502687,True,True
21,2.753531706106474,1.549709715387914,0.9655646179414374,0.9655646179414374,0.9489145874850168,4.26284644375379,2.8073537448945305,1.699960081586342,0.9642052756254674,0.9642052756254674,0.9489095826323045,-0.9150854110759544,True,True
30,2.6996905152364334,1.489062797327178,0.9669610837586283,0.9669610837586283,0.9813304273627138,0.524310805861838,2.9311622939959237,1.6855273831848931,0.9610526814999466,0.9610526814999466,0.9411417184926665,-0.16941979671604568,True,True
45,2.5808580713669236,1.2937173963352349,0.9698993555757328,0.9698993555757328,0.9545929295582256,3.3885254597224725,3.258186620737883,1.8936771417013376,0.9520267146530639,0.9520267146530639,0.9321503249268726,0.22070143163215342,True,True
60,2.7031458471227987,1.2686297139884086,0.9670535386542094,0.9670535386542094,0.9717381302441684,0.9583204053474749,3.3185638907042345,2.0423290701396875,0.9503441769072425,0.9503441769072425,0.9482733141946351,-2.1404550342488395,True,True
